date,year,total,age,short,location
2011-01-17,2011,2979.0,Y_GE80,PL,Polska
2011-01-17,2011,263.0,Y_GE80,PL21,małopolskie
2011-01-17,2011,344.0,Y_GE80,PL22,śląskie
2011-01-24,2011,12.0,Y20-39,PL43,lubuskie
2011-01-24,2011,41.0,Y40-59,PL43,lubuskie
2011-01-24,2011,3.0,Y20-39,PL52,opolskie
2011-01-24,2011,12.0,Y20-39,PL51,dolnośląskie
2011-01-24,2011,8.0,Y20-39,PL42,zachodniopomorskie
2011-01-24,2011,0.0,UNK,PL82,podkarpackie
2011-01-24,2011,33.0,Y20-39,PL22,śląskie
2011-01-24,2011,8.0,Y20-39,PL21,małopolskie
2011-01-24,2011,199.0,Y20-39,PL,Polska
2011-01-24,2011,0.0,UNK,PL9,mazowieckie
2011-01-24,2011,0.0,UNK,PL84,podlaskie
2011-01-24,2011,16.0,Y20-39,PL41,wielkopolskie
2011-01-24,2011,11.0,Y20-39,PL61,kujawsko-pomorskie
2011-01-24,2011,9.0,Y20-39,PL82,podkarpackie
2011-01-24,2011,10.0,Y20-39,PL63,pomorskie
2011-01-24,2011,22.0,Y20-39,PL71,łódzkie
2011-01-24,2011,6.0,Y20-39,PL72,świętokrzyskie
2011-01-24,2011,15.0,Y20-39,PL81,lubelskie
2011-01-24,2011,11.0,Y20-39,PL84,podlaskie
2011-01-24,2011,18.0,Y20-39,PL9,mazowieckie
2011-01-24,2011,1281.0,Y40-59,PL,Polska
2011-01-24,2011,87.0,Y40-59,PL21,małopolskie
2011-01-24,2011,181.0,Y40-59,PL22,śląskie
2011-01-24,2011,101.0,Y40-59,PL41,wielkopolskie
2011-01-24,2011,71.0,Y40-59,PL42,zachodniopomorskie
2011-01-24,2011,0.0,UNK,PL81,lubelskie
2011-01-24,2011,5.0,Y20-39,PL62,warmińsko-mazurskie
2011-01-24,2011,0.0,UNK,PL72,świętokrzyskie
2011-01-24,2011,375.0,TOTAL,PL82,podkarpackie
2011-01-24,2011,0.0,UNK,PL63,pomorskie
2011-01-24,2011,125.0,Y40-59,PL51,dolnośląskie
2011-01-24,2011,7690.0,TOTAL,PL,Polska
2011-01-24,2011,611.0,TOTAL,PL21,małopolskie
2011-01-24,2011,1038.0,TOTAL,PL22,śląskie
2011-01-24,2011,649.0,TOTAL,PL41,wielkopolskie
2011-01-24,2011,331.0,TOTAL,PL42,zachodniopomorskie
2011-01-24,2011,229.0,TOTAL,PL43,lubuskie
2011-01-24,2011,603.0,TOTAL,PL51,dolnośląskie
2011-01-24,2011,212.0,TOTAL,PL52,opolskie
2011-01-24,2011,389.0,TOTAL,PL61,kujawsko-pomorskie
2011-01-24,2011,275.0,TOTAL,PL62,warmińsko-mazurskie
2011-01-24,2011,378.0,TOTAL,PL63,pomorskie
2011-01-24,2011,623.0,TOTAL,PL71,łódzkie
2011-01-24,2011,267.0,TOTAL,PL72,świętokrzyskie
2011-01-24,2011,447.0,TOTAL,PL81,lubelskie
2011-01-24,2011,217.0,TOTAL,PL84,podlaskie
2011-01-24,2011,1046.0,TOTAL,PL9,mazowieckie
2011-01-24,2011,0.0,UNK,PL,Polska
2011-01-24,2011,0.0,UNK,PL21,małopolskie
2011-01-24,2011,0.0,UNK,PL22,śląskie
2011-01-24,2011,0.0,UNK,PL41,wielkopolskie
2011-01-24,2011,0.0,UNK,PL42,zachodniopomorskie
2011-01-24,2011,0.0,UNK,PL43,lubuskie
2011-01-24,2011,0.0,UNK,PL51,dolnośląskie
2011-01-24,2011,0.0,UNK,PL52,opolskie
2011-01-24,2011,0.0,UNK,PL61,kujawsko-pomorskie
2011-01-24,2011,0.0,UNK,PL62,warmińsko-mazurskie
2011-01-24,2011,0.0,UNK,PL71,łódzkie
2011-01-24,2011,33.0,Y40-59,PL52,opolskie
2011-01-24,2011,6.0,Y_LT20,PL21,małopolskie
2011-01-24,2011,48.0,Y40-59,PL62,warmińsko-mazurskie
2011-01-24,2011,78.0,Y_GE80,PL52,opolskie
2011-01-24,2011,143.0,Y_GE80,PL61,kujawsko-pomorskie
2011-01-24,2011,111.0,Y_GE80,PL62,warmińsko-mazurskie
2011-01-24,2011,135.0,Y_GE80,PL63,pomorskie
2011-01-24,2011,268.0,Y_GE80,PL71,łódzkie
2011-01-24,2011,105.0,Y_GE80,PL72,świętokrzyskie
2011-01-24,2011,196.0,Y_GE80,PL81,lubelskie
2011-01-24,2011,162.0,Y_GE80,PL82,podkarpackie
2011-01-24,2011,90.0,Y_GE80,PL84,podlaskie
2011-01-24,2011,427.0,Y_GE80,PL9,mazowieckie
2011-01-24,2011,73.0,Y_LT20,PL,Polska
2011-01-24,2011,3.0,Y_LT20,PL9,mazowieckie
2011-01-24,2011,207.0,Y_GE80,PL51,dolnośląskie
2011-01-24,2011,6.0,Y_LT20,PL22,śląskie
2011-01-24,2011,6.0,Y_LT20,PL42,zachodniopomorskie
2011-01-24,2011,3.0,Y_LT20,PL43,lubuskie
2011-01-24,2011,8.0,Y_LT20,PL51,dolnośląskie
2011-01-24,2011,3.0,Y_LT20,PL52,opolskie
2011-01-24,2011,6.0,Y_LT20,PL61,kujawsko-pomorskie
2011-01-24,2011,2.0,Y_LT20,PL62,warmińsko-mazurskie
2011-01-24,2011,5.0,Y_LT20,PL63,pomorskie
2011-01-24,2011,4.0,Y_LT20,PL71,łódzkie
2011-01-24,2011,3.0,Y_LT20,PL72,świętokrzyskie
2011-01-24,2011,4.0,Y_LT20,PL81,lubelskie
2011-01-24,2011,3.0,Y_LT20,PL82,podkarpackie
2011-01-24,2011,4.0,Y_LT20,PL84,podlaskie
2011-01-24,2011,7.0,Y_LT20,PL41,wielkopolskie
2011-01-24,2011,82.0,Y_GE80,PL43,lubuskie
